time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2024-04-29 12:00:00+00:00,SOL,6.82e-06,290058.2,141.14,92600515.3142,-0.00044543,134.7,134.64,134.625,134.61,134.64
2024-04-29 13:00:00+00:00,SOL,1.25e-05,272444.48,141.65,97319576.78899996,-8.013e-05,136.03,135.98,136.005,136.0,136.0191
2024-04-29 14:00:00+00:00,SOL,1.25e-05,264685.94,142.53,97980639.58229998,0.0,134.79,134.79,134.795,134.79,134.8
2024-04-29 15:00:00+00:00,SOL,1.25e-05,269092.84,142.12,105228024.66849998,0.0,136.77,136.74,136.765,136.7274,136.77
2024-04-29 16:00:00+00:00,SOL,1.25e-05,270813.3,141.98,112134655.14269996,7.327e-05,136.49,136.51,136.505,136.5,136.51
2024-04-29 17:00:00+00:00,SOL,1.25e-05,270022.68,142.47,117013582.79359998,-4.19e-05,133.66,133.66,133.645,133.6317,133.6544
2024-04-29 18:00:00+00:00,SOL,1.25e-05,281670.96,142.98,121787526.45969996,8.957e-05,135.09,135.1,135.115,135.1021,135.12
2024-04-29 19:00:00+00:00,SOL,1.25e-05,278452.6,143.86,125363735.63589996,0.00037155,134.57,134.59,134.625,134.62,134.63
2024-04-29 20:00:00+00:00,SOL,1.25e-05,269126.9,142.11,137025614.67639998,0.0002252,134.99,135.04,135.035,135.0204,135.04
2024-04-29 21:00:00+00:00,SOL,1.25e-05,265422.64,141.84,134703529.97469997,0.00059272,134.97,135.06,135.055,135.05,135.06
2024-04-29 22:00:00+00:00,SOL,2.09e-05,265614.28,141.38,134982287.6294,0.00066721,134.89,134.99,134.985,134.98,134.9999
2024-04-29 23:00:00+00:00,SOL,4.648e-05,272837.7,139.01,133022959.97310002,0.00087184,137.64,137.76,137.765,137.76,137.7704
2024-04-30 00:00:00+00:00,SOL,7.361e-05,274168.02,137.92,130965649.2735,0.00108885,137.76,137.9,137.92,137.91,137.93
2024-04-30 01:00:00+00:00,SOL,4.529e-05,272185.82,138.31,132336928.09050004,0.00086232,139.16,139.28,139.29,139.28,139.3045
2024-04-30 02:00:00+00:00,SOL,1.605e-05,262729.16,138.52,135791414.6586,0.00062843,136.53,136.63,136.635,136.6158,136.668
2024-04-30 03:00:00+00:00,SOL,3.769e-05,269582.6,136.2,138724275.9069,0.00080152,137.24,137.36,137.355,137.35,137.3689
2024-04-30 04:00:00+00:00,SOL,1.25e-05,261895.76,134.9,135950643.7921,0.00043956,136.5,136.57,136.565,136.56,136.57
2024-04-30 05:00:00+00:00,SOL,1.25e-05,264334.08,136.05,136735698.47450003,0.00029481,135.68,135.73,135.73,135.72,135.74
2024-04-30 06:00:00+00:00,SOL,5.757e-05,279392.06,136.6,135760807.89170003,0.00096054,135.34,135.48,135.475,135.47,135.48
2024-04-30 07:00:00+00:00,SOL,2.954e-05,269398.3,134.89,156960492.29340005,0.00073632,135.81,135.9,135.92,135.91,135.93
2024-04-30 08:00:00+00:00,SOL,1.25e-05,253353.08,134.84,162265904.9546,-0.00014805,135.09,135.06,135.055,135.04,135.07
2024-04-30 09:00:00+00:00,SOL,5.2e-06,256544.1,134.77,168822592.24159998,-0.00045844,130.88,130.81,130.815,130.8014,130.82
2024-04-30 10:00:00+00:00,SOL,-4.75e-06,263240.44,135.49,168852108.29199997,-0.00053796,130.12,130.05,130.045,130.04,130.05
2024-04-30 11:00:00+00:00,SOL,-2.27e-06,264209.98,135.21,165290981.39110002,-0.00051818,130.07,129.99,129.995,129.99,130.0026
2024-04-30 12:00:00+00:00,SOL,-9.04e-06,272299.88,134.61,169257029.14869997,-0.00057234,128.77,128.69,128.685,128.68,128.6963
2024-04-30 13:00:00+00:00,SOL,-3.962e-05,271239.2,136.05,175612931.33279997,-0.00081699,129.01,128.91,128.895,128.89,128.9046
2024-04-30 14:00:00+00:00,SOL,1.25e-05,261513.66,134.79,180525970.1623,0.0,127.69,127.65,127.68,127.67,127.69
2024-04-30 15:00:00+00:00,SOL,-2.48e-05,252660.6,136.77,180360286.06430003,-0.00069838,128.87,128.81,128.755,128.73,128.78
2024-04-30 16:00:00+00:00,SOL,1.25e-05,277179.1,136.53,191470771.9555,-7.828e-05,127.75,127.71,127.735,127.7235,127.74
2024-04-30 17:00:00+00:00,SOL,1.25e-05,294311.0,133.6,212365773.3559,-0.00039799,125.63,125.59,125.57,125.56,125.58
2024-04-30 18:00:00+00:00,SOL,1.25e-05,298790.8,135.11,227779769.0736,0.0,124.66,124.65,124.645,124.64,124.6625
