time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2025-05-15 19:00:00+00:00,DOGE,1.25e-05,275820624.0,0.23396,54915036.06081999,0.0003272281,0.22003,0.22011,0.22014,0.220102,0.220151
2025-05-15 20:00:00+00:00,DOGE,1.25e-05,283941692.0,0.2343,51693027.84476998,0.0005852429,0.22213,0.22224,0.222265,0.22226,0.22227
2025-05-15 21:00:00+00:00,DOGE,1.25e-05,283794206.0,0.2335,53099601.88172998,0.0002713459,0.22112,0.22122,0.221225,0.22118,0.22123
2025-05-15 22:00:00+00:00,DOGE,1.25e-05,272638312.0,0.23408,52503733.06558999,0.0,0.22002,0.22002,0.220025,0.22002,0.220075
2025-05-15 23:00:00+00:00,DOGE,1.25e-05,271625802.0,0.23248,51848805.555459976,8.21468e-05,0.21912,0.21916,0.219175,0.219138,0.21918
2025-05-16 00:00:00+00:00,DOGE,1.25e-05,265733852.0,0.2329,53288936.14929999,0.0,0.2194,0.21939,0.219385,0.219377,0.219424
2025-05-16 01:00:00+00:00,DOGE,1.25e-05,269780232.0,0.23612,53233222.489559986,0.0003623353,0.22079,0.22087,0.220875,0.22087,0.220953
2025-05-16 02:00:00+00:00,DOGE,1.25e-05,275912102.0,0.22882,48838389.47425,0.0003589859,0.22285,0.22293,0.22295,0.22293,0.222991
2025-05-16 03:00:00+00:00,DOGE,1.25e-05,280734688.0,0.23446,48683393.17508,0.0003995383,0.22526,0.22535,0.225355,0.22535,0.22536
2025-05-16 04:00:00+00:00,DOGE,1.25e-05,280855812.0,0.23216,47278664.638469994,0.0003094607,0.2262,0.2263,0.22629,0.22627,0.226367
2025-05-16 05:00:00+00:00,DOGE,3.18522e-05,276369444.0,0.23393,47184939.07475999,0.0007548175,0.22522,0.2253,0.225405,0.22539,0.22542
2025-05-16 06:00:00+00:00,DOGE,1.25e-05,276725606.0,0.22849,46251041.02343999,0.0003491558,0.22626,0.22635,0.22638,0.226339,0.22639
2025-05-16 07:00:00+00:00,DOGE,1.25e-05,273571416.0,0.22793,44456139.96747999,0.0004326138,0.22653,0.22663,0.226675,0.226628,0.22668
2025-05-16 08:00:00+00:00,DOGE,1.25e-05,262275458.0,0.22378,47465552.27998999,0.0001771479,0.2258,0.22584,0.225845,0.22584,0.22585
2025-05-16 09:00:00+00:00,DOGE,1.25e-05,260450004.0,0.22873,47496461.34910999,0.0002237036,0.22351,0.22355,0.223565,0.22356,0.223578
2025-05-16 10:00:00+00:00,DOGE,1.25e-05,258537980.0,0.22548,47958830.97256,0.000410911,0.22876,0.22881,0.228885,0.228854,0.2289
2025-05-16 11:00:00+00:00,DOGE,1.25e-05,261597086.0,0.22414,48481823.27027,0.0005007838,0.22964,0.22973,0.229795,0.229755,0.2298
2025-05-16 12:00:00+00:00,DOGE,1.25e-05,259953380.0,0.22677,48904055.4132,0.0001761106,0.22713,0.22718,0.227175,0.22717,0.227236
2025-05-16 13:00:00+00:00,DOGE,1.25e-05,259744570.0,0.22735,46862329.38992999,0.0,0.22638,0.22644,0.226365,0.22636,0.226388
2025-05-16 14:00:00+00:00,DOGE,1.25e-05,259917620.0,0.22241,47785564.04815998,4.36319e-05,0.22919,0.2292,0.229205,0.2292,0.229253
2025-05-16 15:00:00+00:00,DOGE,1.25e-05,263178886.0,0.21855,46789587.49583,0.0005789032,0.22629,0.22644,0.226465,0.226421,0.22647
2025-05-16 16:00:00+00:00,DOGE,1.25e-05,267407960.0,0.22534,45991454.01650999,0.0005066166,0.22897,0.22913,0.229135,0.229086,0.229158
2025-05-16 17:00:00+00:00,DOGE,1.25e-05,270891426.0,0.2279,45058205.692849986,0.0005393081,0.22807,0.22824,0.22821,0.228193,0.228229
2025-05-16 18:00:00+00:00,DOGE,2.05234e-05,269667004.0,0.22686,44345473.75160999,0.000664187,0.22584,0.226,0.225995,0.22599,0.226007
2025-05-16 19:00:00+00:00,DOGE,1.25e-05,227224298.0,0.22014,48873933.00741999,8.87e-06,0.22548,0.22551,0.225505,0.225482,0.22551
2025-05-16 20:00:00+00:00,DOGE,1.25e-05,226277250.0,0.22226,47409845.98417,-4.84347e-05,0.22711,0.22714,0.227065,0.227027,0.227099
2025-05-16 21:00:00+00:00,DOGE,1.25e-05,224780056.0,0.22122,46575982.78707,-0.0001337435,0.22431,0.22431,0.224275,0.22427,0.22428
2025-05-16 22:00:00+00:00,DOGE,1.25e-05,223622666.0,0.22002,44796536.94476999,4.46867e-05,0.22378,0.2238,0.223795,0.22379,0.2238
2025-05-16 23:00:00+00:00,DOGE,1.25e-05,222511756.0,0.21912,44986665.86428999,0.0,0.2214,0.2214,0.221395,0.22137,0.2214
2025-05-17 00:00:00+00:00,DOGE,1.25e-05,219269420.0,0.21938,42273667.70261999,-9.04404e-05,0.22114,0.22111,0.22111,0.221078,0.22112
2025-05-17 01:00:00+00:00,DOGE,1.25e-05,216452386.0,0.22088,42260488.556729995,0.0,0.21869,0.21867,0.218665,0.21866,0.218696
